name,RA,Dec,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth
"GJ 238 b",06:33:49.17,-58:31:30.11,11.6,2460204.28189700,0.0018266,1.74470310000,3e-06,1.07,,0.16
"GJ 3090 b",01:21:45.22,-46:42:53.00,11.4,2460204.96328100,0.0008831,2.85310160000,1.7e-06,1.14,,1.4
"GJ 341 b",09:21:35.85,-60:16:52.21,9.5,2460006.41417000,0.0048554,7.57683340000,3.52e-05,2.07,,0.29
"GJ 3470 b",07:59:05.64,+15:23:28.35,12.3,2456974.68988000,5.9e-05,3.33665240000,1.4e-07,1.90,,6.8
"GJ 3473 b",08:02:22.47,+03:20:13.79,13.7,2458492.20408000,0.00043000,1.19800350000,1.9e-06,0.95,,1.2
"GJ 357 b",09:36:01.79,-21:39:54.23,10.9,2459272.67570000,0.0004,3.93060000000,2e-06,1.29,,0.96
"GJ 367 b",09:44:29.15,-45:46:44.46,10.2,2460013.71310000,0.0006209,0.32192330000,4e-07,0.20,,0.20
"GJ 3929 b",15:58:18.62,+35:24:29.21,12.7,2458956.39620000,0.0005,2.61623500000,5e-06,1.19,,1.1
"GJ 436 b",11:42:12.13,+26:42:11.04,10.7,2455290.75168400,5.2e-05,2.64389762100,9.6e-08,1.01,,6.8
"GJ 486 b",12:47:55.57,+09:44:57.91,11.4,2459939.07160200,1e-05,1.46712127000,3.5e-07,1.02,,1.4
"GJ 806 b",20:45:04.73,+44:30:00.85,10.8,2460559.01555200,0.0002797,0.92632370000,4e-07,0.81,,0.95
"GJ 9827 b",23:27:05.23,-01:17:07.24,10.4,2460231.73383100,0.0006433,1.20897550000,3e-07,1.29,,0.67
"GJ 9827 c",23:27:05.23,-01:17:07.24,10.4,2457851.64378000,0.00075,3.64811450000,9.6e-06,1.83,,0.36
"GJ 9827 d",23:27:05.23,-01:17:07.24,10.4,2460265.10196000,6e-05,6.20183000000,3e-06,1.23,,0.96
"Gliese 12 b",00:15:49.90,+13:33:27.42,12.6,2459458.90053500,0.00173974,12.76147058433,4.961422e-05,1.05,,1.2
"GPX-1 b",02:33:28.60,+56:01:32.55,12.3,2458770.23823000,0.0004,1.74457900000,8e-06,2.09,,9.0
"HAT-P-11 b",19:50:50.44,+48:04:54.71,9.5,2454957.81320670,0.00000530,4.88780244300,0.00000003400,2.36,,4.3
"HAT-P-12 b",13:57:33.27,+43:29:35.92,12.7,2456851.48111900,6e-05,3.21305762000,1.5e-07,2.34,,19.8
"HAT-P-13 b",08:39:31.77,+47:21:06.87,10.4,2456316.79044000,0.00012,2.91624121000,1.6e-07,3.29,,7.3
"HAT-P-14 b",17:20:27.88,+38:14:31.81,10.0,2457304.81275000,0.00015,4.62766098000,3.4e-07,2.19,,6.5
"HAT-P-15 b",04:24:59.55,+39:27:38.17,12.4,2456159.44417000,0.00017,10.86345165000,8.9e-07,5.48,,10.0
"HAT-P-16 b",00:38:17.53,+42:27:47.15,10.9,2456204.60429900,6.9e-05,2.77596727000,9e-08,3.06,,11.5
"HAT-P-17 b",21:38:08.63,+30:29:17.48,10.4,2456703.46070300,5e-05,10.33853522000,7e-07,4.06,,15.0
"HAT-P-18 b",17:05:23.13,+33:00:44.37,12.6,2457408.44913300,8.1e-05,5.50802941000,5.3e-07,2.71,,21.6
"HAT-P-19 b",00:38:03.98,+34:42:41.05,12.8,2456610.86394500,7.1e-05,4.00878322000,1.9e-07,2.84,,21.5
"HAT-P-1 b",22:57:46.89,+38:40:29.71,9.8,2460606.43688200,0.0001642,4.46529860000,9e-07,2.50,,14.4
"HAT-P-20 b",07:27:39.94,+24:20:10.03,11.2,2460285.25266900,8.1e-05,2.87531830000,4e-07,1.61,,23.7
"HAT-P-21 b",11:25:05.98,+41:01:40.87,11.5,2458159.89639000,0.00027,4.12448852000,6.9e-07,3.67,,9.0
"HAT-P-22 b",10:22:43.55,+50:07:43.36,9.8,2460362.10522700,8.82e-05,3.21223020000,3e-07,2.65,,14.4
"HAT-P-23 b",20:24:29.74,+16:45:43.73,11.9,2457742.57379000,7.2e-05,1.21288639700,7.4e-08,2.18,,10.5
"HAT-P-24 b",07:15:18.03,+14:15:45.38,11.8,2458011.89580000,0.00014,3.35524439000,2.6e-07,3.69,,9.4
"HAT-P-25 b",03:13:44.51,+25:11:50.48,13.1,2457759.39314000,0.00015,3.65281524000,3.7e-07,2.81,,0.16
"HAT-P-26 b",14:12:37.57,+04:03:33.90,11.8,2456901.05945800,9.4e-05,4.23450020000,6.4e-07,2.46,,5.4
"HAT-P-27 b",14:51:04.16,+05:56:50.51,12.1,2457128.31066000,0.00013,3.03957804000,2.4e-07,1.68,,14.3
"HAT-P-28 b",00:52:00.22,+34:43:42.25,13.1,2458124.34308000,0.00022,3.25721290000,6e-07,3.22,,14.7
"HAT-P-29 b",02:12:31.46,+51:46:43.59,11.8,2456210.61536000,5e-05,5.72339000000,1e-06,3.89,,8.6
"HAT-P-2 b",16:20:36.34,+41:02:52.66,8.7,2460477.27590700,0.0001407,5.63347700000,1e-06,4.13,,5.7
"HAT-P-30 b",08:15:47.96,+05:50:12.72,10.4,2457775.21277800,7.7e-05,2.81060070000,1.3e-07,2.25,,13.0
"HAT-P-31 b",18:06:09.04,+26:25:35.78,11.7,2458940.75332000,0.00034,5.00527020000,3.1e-06,4.91,,6.5
"HAT-P-32 b",02:04:10.26,+46:41:16.26,11.4,2456265.15412300,4.4e-05,2.15000819700,8.9e-08,3.12,,22.2
"HAT-P-33 b",07:32:44.22,+33:50:06.08,11.0,2458078.12991800,8.8e-05,3.47447703000,1.8e-07,4.41,,11.0
"HAT-P-34 b",20:12:46.90,+18:06:17.20,10.4,2458708.63767000,0.00018,5.45264682000,9.2e-07,3.18,,7.8
"HAT-P-35 b",08:13:00.17,+04:47:13.30,12.4,2457620.79024000,0.00037,3.64665840000,9e-07,3.94,,9.0
"HAT-P-36 b",12:33:03.89,+44:54:55.32,12.1,2457885.38399400,9.4e-05,1.32734681300,9.7e-08,2.23,,18.9
"HAT-P-37 b",18:57:11.05,+51:16:08.84,13.4,2457938.84392000,0.00016,2.79744256000,4.1e-07,2.33,,19.0
"HAT-P-38 b",02:21:32.04,+32:14:45.76,12.5,2457570.76143000,0.00011,4.64032787000,8.8e-07,3.04,,10.0
"HAT-P-39 b",07:35:01.98,+17:49:48.10,12.3,2458089.92057000,0.00019,3.54387370000,3.4e-07,4.19,,10.0
"HAT-P-3 b",13:44:22.56,+48:01:42.83,11.9,2456843.02243800,8.1e-05,2.89973815000,1.3e-07,2.08,,12.0
"HAT-P-40 b",22:22:03.10,+45:27:26.43,11.3,2458741.56891000,0.0007,4.45721810000,1.3e-06,6.14,,6.5
"HAT-P-41 b",19:49:17.44,+04:40:20.68,11.4,2458071.24389000,0.00012,2.69404970000,8e-07,3.66,,11.0
"HAT-P-42 b",09:01:22.65,+06:05:49.50,12.1,2458941.87092000,0.0002,4.64183885000,8.7e-07,4.03,,7.5
"HAT-P-43 b",08:35:42.17,+10:12:23.71,13.3,2458223.60220000,0.00011,3.33268054000,4e-07,3.12,,17.0
"HAT-P-44 b",14:12:34.53,+47:00:53.22,13.2,2457679.78645000,0.00028,4.30119043000,8.2e-07,3.12,,22.1
"HAT-P-45 b",18:17:29.58,-03:22:51.81,12.8,2458082.99115000,0.00035,3.12899506000,5.9e-07,3.45,,13.4
"HAT-P-46 b",18:01:46.60,-02:58:15.53,12.0,2456736.78473000,0.00028,4.46313574000,8.6e-07,3.10,,8.0
"HAT-P-49 b",20:21:45.92,+26:41:33.63,10.2,2459013.12497000,0.0002,2.69155536000,5.4e-07,4.11,,6.3
"HAT-P-4 b",15:19:57.89,+36:13:46.36,11.1,2455584.57238000,0.00018,3.05652301000,2.9e-07,4.22,,7.8
"HAT-P-50 b",07:52:15.23,+12:08:21.65,11.7,2458402.63014000,0.00022,3.12200511000,5e-07,3.67,,6.3
"HAT-P-51 b",01:24:15.63,+32:48:38.52,13.5,2458349.53123000,0.00014,4.21802091000,6.6e-07,3.37,,18.5
"HAT-P-52 b",02:50:53.22,+29:01:20.10,14.1,2458233.96601000,0.0002,2.75359760000,3.6e-07,2.41,,14.5
"HAT-P-53 b",01:27:29.06,+38:58:05.21,13.8,2458771.88605000,0.00028,1.96162529000,3.5e-07,2.79,,13.7
